epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.532659,0.4714,1.469457,0.5125,3.00e-05
2,1.488141,0.4882,1.465422,0.5000,2.97e-05
3,1.475854,0.5027,1.443434,0.5188,2.87e-05
4,1.451120,0.5169,1.442934,0.5062,2.72e-05
5,1.421394,0.5235,1.428636,0.5250,2.52e-05
6,1.404793,0.5400,1.424294,0.5156,2.28e-05
7,1.410311,0.5392,1.415411,0.5312,2.00e-05
8,1.407332,0.5459,1.410011,0.5344,1.70e-05
9,1.356614,0.5824,1.409803,0.5312,1.40e-05
10,1.371124,0.5569,1.392278,0.5344,1.10e-05
11,1.370989,0.5690,1.390219,0.5656,8.25e-06
12,1.360410,0.5671,1.394637,0.5312,5.80e-06
13,1.342553,0.5918,1.397912,0.5375,3.77e-06
14,1.340873,0.5918,1.387837,0.5406,2.25e-06
15,1.326910,0.5886,1.392723,0.5406,1.32e-06
16,1.331355,0.5855,1.385349,0.5687,1.00e-06
17,1.336786,0.5859,1.385144,0.5594,1.32e-06
18,1.348573,0.5839,1.381242,0.5719,2.25e-06
19,1.336707,0.5800,1.389480,0.5500,3.77e-06
20,1.339845,0.5702,1.375279,0.5625,5.80e-06
