epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.829207,0.2945,1.796834,0.3031,3.00e-05
2,1.793663,0.3051,1.737755,0.3344,2.97e-05
3,1.722373,0.3569,1.677991,0.3500,2.87e-05
4,1.679248,0.4000,1.628174,0.3781,2.72e-05
5,1.659001,0.3886,1.596926,0.4062,2.52e-05
6,1.615563,0.4082,1.568034,0.4219,2.28e-05
7,1.587138,0.4282,1.554397,0.4437,2.00e-05
8,1.593969,0.4243,1.530301,0.4469,1.70e-05
9,1.535798,0.4702,1.528826,0.4406,1.40e-05
10,1.512900,0.4816,1.517300,0.4656,1.10e-05
11,1.551348,0.4420,1.504219,0.4688,8.25e-06
12,1.511447,0.4804,1.497919,0.4813,5.80e-06
13,1.513642,0.4773,1.497926,0.4813,3.77e-06
14,1.508851,0.4796,1.497882,0.4750,2.25e-06
15,1.494597,0.4914,1.495717,0.4750,1.32e-06
16,1.485973,0.4980,1.492981,0.4906,1.00e-06
17,1.492431,0.4816,1.492144,0.4906,1.32e-06
18,1.493666,0.4890,1.492610,0.4813,2.25e-06
19,1.488773,0.4937,1.490846,0.5000,3.77e-06
20,1.468283,0.5063,1.488030,0.4781,5.80e-06
