epoch,train_loss,train_acc,val_loss,val_acc
1,1.953940,0.1455,1.949450,0.1344
2,1.959708,0.1345,1.946944,0.1437
3,1.951682,0.1490,1.943297,0.1500
4,1.942491,0.1596,1.939823,0.1656
5,1.938659,0.1678,1.935029,0.2062
6,1.929263,0.1875,1.929613,0.2062
7,1.923565,0.1925,1.924269,0.2125
8,1.913869,0.2059,1.918428,0.2219
9,1.907896,0.2114,1.912276,0.2375
10,1.901124,0.2184,1.904787,0.2375
11,1.898993,0.2259,1.895407,0.2500
12,1.888084,0.2357,1.891052,0.2469
13,1.889671,0.2157,1.879215,0.2500
14,1.862565,0.2467,1.874762,0.2594
15,1.849182,0.2737,1.865934,0.2625
16,1.845376,0.2784,1.856702,0.2562
17,1.835696,0.2569,1.847231,0.2594
18,1.838799,0.2627,1.840390,0.2500
19,1.829795,0.2675,1.837118,0.2531
20,1.827213,0.2690,1.824917,0.2656
1,1.957467,0.1494,1.955102,0.1437
2,1.958864,0.1361,1.948848,0.1375
3,1.953086,0.1451,1.942602,0.1875
4,1.939902,0.1608,1.936006,0.2000
5,1.939889,0.1765,1.928721,0.1906
6,1.933307,0.1718,1.923775,0.2000
7,1.922884,0.1984,1.917219,0.2156
8,1.920649,0.1914,1.911414,0.2313
9,1.904422,0.2176,1.903438,0.2313
10,1.905489,0.2243,1.897981,0.2313
11,1.883756,0.2451,1.890129,0.2469
12,1.889995,0.2333,1.878833,0.2562
13,1.882564,0.2369,1.875478,0.2469
14,1.878943,0.2435,1.866623,0.2656
15,1.868326,0.2380,1.858182,0.2719
16,1.859177,0.2412,1.851988,0.2469
17,1.855745,0.2498,1.845154,0.2687
18,1.852591,0.2671,1.835302,0.2844
19,1.834281,0.2678,1.830821,0.2812
20,1.828468,0.2678,1.818777,0.2781
