epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.584646,0.4365,1.573074,0.4313,3.00e-05
2,1.554450,0.4494,1.527565,0.4656,2.97e-05
3,1.506624,0.4875,1.499461,0.4813,2.87e-05
4,1.454941,0.5110,1.469818,0.4969,2.72e-05
5,1.447645,0.5118,1.452467,0.5094,2.52e-05
6,1.441779,0.5259,1.437277,0.4969,2.28e-05
7,1.409847,0.5494,1.434786,0.4969,2.00e-05
8,1.389700,0.5620,1.413300,0.5125,1.70e-05
9,1.377259,0.5561,1.403722,0.5219,1.40e-05
10,1.363172,0.5592,1.399813,0.5219,1.10e-05
11,1.346383,0.5800,1.403572,0.5281,8.25e-06
12,1.323418,0.6016,1.393091,0.5281,5.80e-06
13,1.323868,0.5973,1.391846,0.5281,3.77e-06
14,1.324155,0.6078,1.390519,0.5281,2.25e-06
15,1.305546,0.6082,1.392474,0.5406,1.32e-06
16,1.313395,0.5953,1.386451,0.5250,1.00e-06
17,1.287479,0.6133,1.387114,0.5281,1.32e-06
18,1.299547,0.5945,1.383442,0.5312,2.25e-06
19,1.324951,0.5988,1.383011,0.5344,3.77e-06
20,1.292220,0.6220,1.384528,0.5469,5.80e-06
