epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.816351,0.2949,1.806142,0.3000,3.00e-05
2,1.739003,0.3506,1.756216,0.3469,2.97e-05
3,1.720194,0.3651,1.723971,0.3563,2.87e-05
4,1.671929,0.4035,1.684575,0.3969,2.72e-05
5,1.642466,0.4000,1.657979,0.3875,2.52e-05
6,1.615191,0.4200,1.648032,0.4125,2.28e-05
7,1.587334,0.4451,1.633219,0.4125,2.00e-05
8,1.581427,0.4376,1.605004,0.4156,1.70e-05
9,1.554968,0.4569,1.604885,0.4281,1.40e-05
10,1.566088,0.4490,1.594874,0.4250,1.10e-05
11,1.543824,0.4710,1.584285,0.4281,8.25e-06
12,1.547244,0.4569,1.582355,0.4281,5.80e-06
13,1.546318,0.4702,1.580348,0.4281,3.77e-06
14,1.528474,0.4722,1.584464,0.4188,2.25e-06
