epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.197941,0.6620,1.262461,0.6219,3.00e-05
2,1.151197,0.6933,1.251008,0.6500,2.97e-05
3,1.119025,0.7153,1.220294,0.6687,2.87e-05
4,1.094340,0.7298,1.209370,0.6687,2.72e-05
5,1.121030,0.7169,1.188383,0.6906,2.52e-05
6,1.074324,0.7494,1.175692,0.7063,2.28e-05
7,1.070917,0.7431,1.179133,0.6781,2.00e-05
8,1.031429,0.7757,1.175709,0.6875,1.70e-05
9,1.047998,0.7639,1.154859,0.6969,1.40e-05
10,1.029025,0.7678,1.160816,0.6875,1.10e-05
11,1.033421,0.7545,1.145996,0.6969,8.25e-06
