epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.750916,0.3314,1.670789,0.3531,6.00e-05
2,1.586977,0.4478,1.581285,0.4000,5.94e-05
3,1.505623,0.4796,1.517684,0.4719,5.74e-05
4,1.444120,0.5388,1.474981,0.4875,5.44e-05
5,1.385686,0.5639,1.410832,0.5563,5.02e-05
6,1.329253,0.5902,1.357500,0.5938,4.53e-05
7,1.291497,0.6173,1.321409,0.6000,3.96e-05
8,1.254455,0.6427,1.304560,0.6125,3.36e-05
9,1.203622,0.6741,1.294187,0.6062,2.74e-05
10,1.178938,0.6902,1.265275,0.6188,2.14e-05
11,1.155364,0.7035,1.251126,0.6312,1.58e-05
12,1.151132,0.6957,1.242254,0.6344,1.08e-05
13,1.141989,0.7008,1.244399,0.6406,6.63e-06
14,1.124062,0.7184,1.244107,0.6375,3.55e-06
15,1.108879,0.7353,1.237536,0.6375,1.64e-06
16,1.126172,0.7059,1.237242,0.6406,1.00e-06
17,1.122663,0.7125,1.233388,0.6406,1.64e-06
18,1.145636,0.7051,1.241285,0.6438,3.55e-06
19,1.102914,0.7251,1.231300,0.6469,6.63e-06
20,1.098684,0.7318,1.225531,0.6469,1.08e-05
