epoch,train_loss,train_acc,val_loss,val_acc
1,1.999247,0.1404,1.972948,0.1437
2,1.992639,0.1373,1.956723,0.1156
3,1.969309,0.1533,1.950647,0.1406
4,1.965008,0.1443,1.942586,0.1719
5,1.951619,0.1671,1.935413,0.1625
6,1.929179,0.1812,1.931598,0.1938
7,1.926979,0.1941,1.927532,0.1969
8,1.922061,0.1855,1.920718,0.2031
9,1.912679,0.2031,1.913488,0.1844
10,1.898163,0.2176,1.906971,0.1969
11,1.889121,0.2153,1.903595,0.1719
12,1.892536,0.2204,1.894504,0.2250
13,1.878379,0.2459,1.881332,0.2594
14,1.861043,0.2361,1.874490,0.2406
15,1.868924,0.2365,1.867617,0.2500
16,1.856104,0.2620,1.861058,0.2281
17,1.845108,0.2584,1.854063,0.2281
18,1.863081,0.2463,1.845309,0.2406
19,1.841396,0.2576,1.841203,0.2500
20,1.832154,0.2624,1.838481,0.2500
1,2.005550,0.1396,1.969417,0.1406
2,1.990378,0.1498,1.957110,0.1281
3,1.978025,0.1482,1.952661,0.1719
4,1.966374,0.1518,1.947057,0.1531
5,1.957468,0.1576,1.944628,0.1812
6,1.950495,0.1616,1.938054,0.2125
7,1.944663,0.1553,1.933692,0.1750
8,1.931243,0.1812,1.928297,0.2188
9,1.921828,0.1969,1.923760,0.1906
10,1.917674,0.1996,1.915315,0.2062
11,1.912632,0.2016,1.915958,0.2125
12,1.912413,0.2004,1.914326,0.2188
13,1.901915,0.2031,1.900138,0.2344
14,1.905878,0.2071,1.899920,0.2188
15,1.906634,0.2086,1.899079,0.2281
16,1.897856,0.2047,1.897606,0.2156
17,1.899721,0.2000,1.898131,0.2219
18,1.891086,0.2133,1.892695,0.2188
19,1.888815,0.2192,1.892199,0.2250
20,1.876705,0.2416,1.887783,0.2156
1,1.974560,0.1400,1.964430,0.1281
2,1.968625,0.1482,1.957287,0.1219
3,1.965536,0.1463,1.952181,0.1437
4,1.940722,0.1745,1.943369,0.1469
5,1.943399,0.1612,1.939774,0.1719
6,1.931320,0.1725,1.926155,0.1750
7,1.923517,0.1788,1.919979,0.1969
8,1.914987,0.1894,1.911756,0.2156
9,1.905490,0.2000,1.901961,0.2500
10,1.896678,0.2239,1.893052,0.2406
11,1.892898,0.2208,1.896883,0.2000
12,1.878907,0.2267,1.880326,0.2750
13,1.866491,0.2420,1.871507,0.2906
14,1.866715,0.2396,1.865985,0.2812
15,1.865504,0.2455,1.862218,0.2812
16,1.863149,0.2286,1.849457,0.2875
17,1.850326,0.2431,1.846687,0.3000
18,1.849083,0.2408,1.838304,0.3094
19,1.834536,0.2620,1.837662,0.2812
20,1.840614,0.2612,1.826554,0.2969
