model,trainable_params,total_params,baseline_val_acc,epochs_trained,best_val_acc,best_val_loss,test_acc,test_loss
mobilenet,160,160,0.4281,17,0.4906,1.5008,0.5244,1.4560
mobilenet,160,160,0.4281,20,0.5469,1.3845,0.6067,1.3266
efficientnet,215,215,0.5000,20,0.5719,1.3812,0.5762,1.3336
resnet18,64,64,0.6469,11,0.7063,1.1757,0.6890,1.2022
resnet50,163,163,0.5813,20,0.7219,1.1360,0.7439,1.0888
resnet50,163,163,0.5813,20,0.7188,1.2920,0.7622,1.2437
resnet50,163,163,0.6125,18,0.7125,1.3251,0.7530,1.2403
resnet50,163,163,0.6125,20,0.7094,1.3051,0.7470,1.2423
resnet50,163,163,0.6062,15,0.6937,1.3178,0.7195,1.2469
resnet50,163,163,0.6250,20,0.7281,1.1465,0.7591,1.0704
